ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13807226,JJ219799,04/15/2025 12:00:00 AM,021XX E 96TH PL,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,431,4,7,51,08B,1191746,1841387,2025,04/22/2025 03:41:56 PM,41.71975764,-87.57328316,"(41.719757636, -87.573283164)"
13807964,JJ220935,04/15/2025 12:00:00 AM,049XX W ERIE ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1532,15,37,25,14,1143395,1903865,2025,04/22/2025 03:41:56 PM,41.89224208,-87.74882457,"(41.892242076, -87.748824572)"
13808232,JJ219550,04/15/2025 12:00:00 AM,033XX W MAYPOLE AVE,560,ASSAULT,SIMPLE,APARTMENT,FALSE,FALSE,1123,11,28,27,08A,1154138,1900784,2025,04/22/2025 03:41:56 PM,41.88357991,-87.70945207,"(41.883579906, -87.709452068)"
13808340,JJ221261,04/15/2025 12:00:00 AM,004XX E OHIO ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,APARTMENT,FALSE,FALSE,1834,18,2,8,11,1179307,1904288,2025,04/22/2025 03:41:56 PM,41.89265576,-87.61692282,"(41.892655759, -87.616922817)"
13806329,JJ218701,04/15/2025 12:00:00 AM,032XX W FULTON BLVD,051A,ASSAULT,AGGRAVATED - HANDGUN,APARTMENT,FALSE,TRUE,1123,11,28,27,04A,1154813,1901819,2025,04/22/2025 03:41:56 PM,41.88640656,-87.70694566,"(41.886406556, -87.70694566)"
13812565,JJ226268,04/15/2025 12:00:00 AM,116XX S AVENUE H,580,STALKING,SIMPLE,RESIDENCE,FALSE,TRUE,433,4,10,55,08A,,,2025,04/22/2025 03:41:56 PM,,,
13806865,JJ219526,04/15/2025 12:00:00 AM,008XX W AGATITE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,1914,19,46,3,08B,1169917,1929751,2025,04/22/2025 03:41:56 PM,41.96273742,-87.65066369,"(41.962737417, -87.650663692)"
13807923,JJ220778,04/15/2025 12:00:00 AM,035XX W DIVERSEY AVE,560,ASSAULT,SIMPLE,APARTMENT,FALSE,FALSE,1412,14,35,21,08A,1152115,1918385,2025,04/22/2025 03:41:56 PM,41.93191881,-87.71641589,"(41.931918809, -87.716415888)"
13806165,JJ218561,04/15/2025 12:00:00 AM,009XX W MAXWELL ST,281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,POLICE FACILITY / VEHICLE PARKING LOT,FALSE,FALSE,1232,12,28,28,2,1170299,1894031,2025,04/22/2025 03:41:56 PM,41.86471145,-87.6503051,"(41.864711448, -87.650305102)"
13806108,JJ218536,04/14/2025 11:57:00 PM,013XX S THROOP ST,460,BATTERY,SIMPLE,CHA APARTMENT,TRUE,FALSE,1233,12,28,28,08B,1167921,1893776,2025,04/22/2025 03:41:56 PM,41.86406329,-87.65904205,"(41.864063293, -87.659042047)"
13806151,JJ218543,04/14/2025 11:51:00 PM,114XX S COTTAGE GROVE AVE,530,ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,CTA BUS,FALSE,FALSE,531,5,9,50,04A,1181439,1828973,2025,04/22/2025 03:41:56 PM,41.68593548,-87.61141551,"(41.685935477, -87.61141551)"
13806339,JJ218862,04/14/2025 11:40:00 PM,021XX S INDIANA AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,132,1,3,33,7,1177976,1890130,2025,04/22/2025 03:41:56 PM,41.85383579,-87.62224175,"(41.853835789, -87.622241746)"
13806118,JJ218541,04/14/2025 11:40:00 PM,013XX W 76TH ST,560,ASSAULT,SIMPLE,APARTMENT,FALSE,TRUE,612,6,17,71,08A,1168743,1854387,2025,04/22/2025 03:41:56 PM,41.75595788,-87.65716219,"(41.755957881, -87.657162192)"
